<DATABASE_ID>,<DATABASE_NAME>,<MOLECULAR_WEIGHT>,<JCHEM_ACCEPTOR_COUNT>,<JCHEM_AVERAGE_POLARIZABILITY>,<JCHEM_DONOR_COUNT>,<JCHEM_FORMAL_CHARGE>,<JCHEM_LOGP>,<JCHEM_NUMBER_OF_RINGS>,<JCHEM_PHYSIOLOGICAL_CHARGE>,<JCHEM_PKA>,<JCHEM_PKA_STRONGEST_ACIDIC>,<JCHEM_PKA_STRONGEST_BASIC>,<JCHEM_POLAR_SURFACE_AREA>,<JCHEM_REFRACTIVITY>,<JCHEM_ROTATABLE_BOND_COUNT>,<DRUGBANK_ID>
DB00128,drugbank,133.1027,5,11.284232994701322,3,0,-3.5037527551764525,0,-1,5.113750094894903,1.7025435921010494,9.614153755159162,100.61999999999999,26.5327,3,DB00128
DB00129,drugbank,132.161,4,13.853261407645917,3,0,-3.6582876081320586,0,1,,2.666422703275891,10.2868213384358,89.34,33.20850000000001,4,DB00129
DB00130,drugbank,146.1445,4,13.868279050213303,3,0,-4.001133427477374,0,0,16.244890833030507,2.1473021419115033,9.312090619404756,106.41,33.1099,4,DB00130
DB00131,drugbank,347.2212,10,29.99861349032206,5,0,-4.788289391565842,3,-2,6.281813567799993,1.2265723729422926,4.965390321358218,186.07000000000002,74.06850000000001,4,DB00131
DB00132,drugbank,278.4296,2,34.980361006818654,1,0,6.059955137666666,0,-1,,4.988167283903808,,37.3,89.6354,13,DB00132
DB00133,drugbank,105.0926,4,9.386631521233841,3,0,-3.8877352328917727,0,0,15.166073878847005,2.033990015469951,8.931303956589883,83.55,22.040999999999997,2,DB00133
DB00134,drugbank,149.211,3,15.504513637142049,2,0,-2.189326616871282,0,0,,2.5319210041042344,9.502323343916569,63.31999999999999,37.586000000000006,4,DB00134
DB00135,drugbank,181.1885,4,18.011281585436166,3,0,-1.4885940366836234,1,0,9.792157836784154,1.9998472511533614,9.185299922384795,83.55,47.09720000000001,3,DB00135
DB00136,drugbank,416.6365,3,51.02439043535808,3,0,4.3507409966666675,3,0,15.288747760735944,14.392873609845417,-1.2544418727034898,60.69,126.53249999999996,6,DB00136
DB00137,drugbank,568.886,2,73.81207048094353,2,0,8.550209330666668,2,0,18.907213404525137,18.21727233987641,-0.9139435291721482,40.46,195.0634000000001,10,DB00137
DB00138,drugbank,240.3,6,22.772305661240047,4,0,-5.897687960059564,0,0,2.267408279723485,1.5564231091903382,9.342140596747571,126.64000000000001,54.87179999999999,7,DB00138
DB00139,drugbank,118.088,4,10.141334051490274,2,0,-0.3984829673333332,0,-2,5.6869121792916,3.554166510976347,,74.6,23.537,3,DB00139
DB00140,drugbank,376.3639,9,37.50068947047601,5,0,-0.9165402600000004,3,-1,12.85283377128792,6.969939518005925,0.7575464260653612,155.04999999999998,96.2684,5,DB00140
DB00141,drugbank,221.2078,6,20.489506839444218,5,0,-3.8563957566666667,0,0,12.800488730738557,11.564821144474056,-1.1597845911248257,127.09,48.4469,6,DB00141
DB00142,drugbank,147.1293,5,13.3211868607686,3,0,-3.241447075983049,0,-1,4.27124634014693,1.8777772810395925,9.536217151721162,100.61999999999999,31.287699999999997,4,DB00142
DB00143,drugbank,307.323,7,29.112831939770334,6,0,-4.884693972571516,0,-1,3.7373139999664193,1.9366094710123818,9.223740958328674,158.82000000000002,69.11490000000002,9,DB00143
DB00144,drugbank,385.3041,7,35.58252897815828,3,0,-1.6207098594369584,0,-1,2.17839601565745,1.4680339991867495,9.376604467850063,171.67999999999998,81.8088,15,DB00144
DB00145,drugbank,75.0666,3,6.647019971293048,2,0,-3.409459573132419,0,0,,2.3074568824727444,9.240341660583645,63.31999999999999,16.0034,1,DB00145
DB00146,drugbank,400.6371,2,50.319516931050124,2,0,5.654346069666669,3,0,18.53076846661296,18.384341369959035,-0.9842558878714639,40.46,125.06059999999997,6,DB00146
DB00147,drugbank,167.162,4,16.28064098837296,2,0,0.17853081366666687,1,0,14.658014655901226,7.971193899104745,4.110818751313327,70.42,43.8734,2,DB00147
